id,name,type,category,description,lat,lon,visit_time_minutes,range_pret,luni_deschidere,luni_inchidere,marti_deschidere,marti_inchidere,miercuri_deschidere,miercuri_inchidere,joi_deschidere,joi_inchidere,vineri_deschidere,vineri_inchidere,sambata_deschidere,sambata_inchidere,duminica_deschidere,duminica_inchidere,tip_spatiu
354932221,McDonald's,fast_food,fast_food,,45.7534964,21.2260394,30,2,700,2330,700,2330,700,2330,700,2330,700,2330,700,2330,700,2330,outdoor
380526548,Restaurant Tinecz,restaurant,restaurant,,45.7710081,21.2221875,60,2,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,indoor
380526549,Iris,restaurant,restaurant,,45.7746345,21.2147065,60,1,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,indoor
477200233,Pizzeria Rebecca,restaurant,restaurant,,45.7754256,21.2240089,60,1,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,indoor
477234572,Pizzeria Amedeea,restaurant,restaurant,,45.7757755,21.2310551,60,1,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,indoor
491272530,Statuia Sf. Gheorghe,artwork,artwork,,45.7557539,21.2289114,30,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
500852985,Amore,bar,bar,,45.7385043,21.2100445,60,1,1000,0,1000,0,1000,0,1000,200,1000,200,1000,200,1200,0,outdoor
506451879,Hotel Larisa,hotel,hotel,,45.7676093,21.2445067,0,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
506564288,Hotel Doria,hotel,hotel,,45.7628264,21.2665119,0,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
510130765,Restaurant Bavaria,restaurant,restaurant,,45.7685836,21.2359475,60,1,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,indoor
512105081,Lloyd,restaurant,restaurant,,45.753548,21.2252335,60,2,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,2300,indoor
513700390,Lepa Brena,restaurant,restaurant,,45.7684393,21.2651241,60,1,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,indoor
692767556,Filiberto Ristorante e Pizzeria,restaurant,restaurant,,45.7760909,21.2229219,60,2,900,2100,1600,2200,1600,2200,1600,2200,1600,2200,1200,2200,900,2100,indoor
693138437,Pizzaiolo,restaurant,restaurant,,45.7698443,21.2220971,60,1,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1200,2300,1200,2200,indoor
1202902228,Prospero,bakery,bakery,,45.7452786,21.2424368,20,2,700,2030,700,2030,700,2030,700,2030,700,2030,800,2000,900,1800,outdoor
1205464527,Pizzeria Mamma Mia,fast_food,fast_food,,45.7566879,21.2516088,30,2,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,outdoor
1205464644,The Irish PUBlic House,pub,pub,,45.7567825,21.230642,60,2,800,0,800,0,800,0,800,0,800,200,1600,200,1400,0,outdoor
1205464722,Pizzeria Celentano,fast_food,fast_food,,45.7570908,21.2379378,30,2,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1205524387,KFC,fast_food,fast_food,,45.752483,21.2247194,30,2,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,outdoor
1205761682,Restaurant Cactus,restaurant,restaurant,,45.7503698,21.2463201,60,2,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,indoor
1205765126,Restaurant Sabres,restaurant,restaurant,,45.7424781,21.2382903,60,3,1100,2330,1100,2330,1100,2330,1100,2330,1100,2330,1100,2330,1100,2330,indoor
1213417413,Restaurant Victoria,restaurant,restaurant,,45.7611843,21.2408323,60,1,900,2330,900,2330,900,0,900,0,900,0,900,0,900,0,indoor
1214961448,Kaufland Grill,fast_food,fast_food,,45.7602565,21.219891,30,1,930,2030,930,2030,930,2030,930,2030,930,2030,930,2030,930,1900,outdoor
1221380409,Fast Food,fast_food,fast_food,,45.7629514,21.2176247,30,1,1100,2230,1100,2230,1100,2230,1100,2230,1100,2230,1100,2230,0,2400,outdoor
1221380423,Fast Food,fast_food,fast_food,,45.7637323,21.219227,30,1,1100,2230,1100,2230,1100,2230,1100,2230,1100,2230,1100,2230,0,2400,outdoor
1221380428,Select,bar,bar,,45.7640644,21.219191,60,1,800,2200,800,2200,0,2400,800,2200,800,2200,800,2200,800,2200,outdoor
1222860445,Marele Restaurant Chinezesc,restaurant,restaurant,,45.7632047,21.2509983,60,2,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,indoor
1222863421,"Fabrica de Bere ""Timișoreana""",restaurant,restaurant,,45.7540574,21.2495433,60,2,1100,0,1100,0,1100,0,1100,0,1100,0,1100,0,1100,0,indoor
1234059442,Monsieur Bistro,fast_food,fast_food,,45.7435337,21.2256118,30,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1239892209,Barista,cafe,cafe,,45.7491878,21.2399927,45,1,900,2000,900,2000,900,2000,900,2000,900,2000,900,1900,900,2100,indoor
1239892219,Pret a Manger,restaurant,restaurant,,45.7492346,21.240124,60,1,900,0,900,0,900,0,900,0,900,0,1000,0,1000,0,indoor
1246694032,Union Pub,pub,pub,,45.758399,21.2275546,60,1,900,2200,900,2200,900,2200,900,2200,900,100,900,100,900,2200,outdoor
1246694034,D'arc,bar,bar,,45.7583222,21.2279545,60,2,900,0,900,0,900,0,900,0,900,200,900,400,900,0,outdoor
1246736743,Beunch Cafe,cafe,cafe,,45.7574521,21.2287482,45,2,730,1800,730,1800,730,1800,730,0,730,0,900,0,900,2000,indoor
1256646026,Orizont Club,bar,bar,,45.7547151,21.2545084,60,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1260725142,Hotel Annis,hotel,hotel,,45.7565514,21.2494209,0,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1260725147,Leonardo da Vinci,restaurant,restaurant,,45.75708,21.249056,60,2,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,900,2100,1200,2200,indoor
1263620352,Prospero,bakery,bakery,,45.7366893,21.2170407,20,2,700,1930,700,1930,700,1930,700,1930,700,1930,800,1530,0,2400,outdoor
1263620353,Zanoni,bar,bar,,45.7395869,21.2209456,60,2,800,2100,800,2100,800,2100,800,2100,800,2100,1000,2100,1000,2100,outdoor
1264076922,Hotel Savye,hotel,hotel,,45.7633719,21.2563596,0,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1264076947,Cofetăria Codrina,restaurant,restaurant,,45.7631344,21.2489024,60,2,730,2000,730,2000,730,2000,730,2000,730,2000,900,1900,900,1900,indoor
1264076955,Pensiunea Yasmine,hotel,hotel,,45.7600856,21.2620394,0,1,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,outdoor
1268301489,Like Pub,pub,pub,,45.7501565,21.243588,60,2,0,2400,2200,500,0,2400,2200,500,2200,500,2200,500,2200,500,outdoor
1317142513,D'Arc pe mal,bar,bar,,45.7489592,21.2255243,60,2,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,outdoor
1356812202,Antalya Fast Food,fast_food,fast_food,,45.7318463,21.207987,30,1,900,100,900,100,900,100,900,100,900,100,900,100,1000,100,outdoor
1568893761,La Pronto Pizza,restaurant,restaurant,,45.7578581,21.2083787,60,1,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1400,2200,1600,2200,indoor
1608658266,Taverna Racilor,restaurant,restaurant,,45.7658654,21.2297889,60,2,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,indoor
